Age,ProvinceTerritory,GenderIdentity,OnlineContact_LargeFriendGroup,Intervene_MorallyWrong,OverallMentalHealth,CyberBullying_Frequency
16,British Columbia,Boy,Daily or almost daily,Somewhat disagree,Excellent,Never
17,Quebec,Boy,Daily or almost daily,Agree,Very good,Never
17,Quebec,Boy,At least every week,Disagree,Very good,Never
12,Quebec,Girl,At least every week,Disagree,Good,once or twice
13,Quebec,Girl,At least every week,Agree,Good,once or twice
17,Quebec,Boy,Daily or almost daily,Prefer not to say,Fair,Never
16,Quebec,Boy,At least every week,Prefer not to say,Very good,Prefer not to say
15,Quebec,Boy,Daily or almost daily,Agree,Good,Never
17,Quebec,Boy,Daily or almost daily,Agree,Good,once or twice
17,Quebec,Boy,Daily or almost daily,Agree,Good,Never
12,Quebec,Boy,Several times each day,Somewhat agree,Excellent,once or twice
14,Quebec,Girl,At least every week,Agree,Excellent,Never
14,Quebec,Girl,Daily or almost daily,Somewhat agree,Very good,Never
17,Quebec,Girl,Several times each day,Somewhat agree,Good,Prefer not to say
17,Quebec,Boy,At least every week,Agree,Very good,Never
15,Quebec,Girl,Almost all the time throughout the day,Agree,Excellent,Never
16,Manitoba,Boy,At least every week,Disagree,Excellent,Never
15,Manitoba,Boy,Daily or almost daily,Agree,Very good,Three or four times
16,Quebec,Boy,At least every week,Somewhat agree,Excellent,Never
13,Alberta,Girl,At least every week,Somewhat disagree,Fair,once or twice
16,Quebec,Boy,At least every week,Somewhat agree,Fair,once or twice
14,British Columbia,Girl,Daily or almost daily,Agree,Very good,once or twice
13,Quebec,Boy,Several times each day,Agree,Excellent,once or twice
17,Alberta,Girl,Several times each day,Somewhat agree,Good,Never
18,Manitoba,Boy,Daily or almost daily,Agree,Fair,Three or four times
15,Quebec,Boy,At least every week,Somewhat agree,Good,Never
16,Nova Scotia,Girl,At least every week,Somewhat agree,Excellent,Never
18,British Columbia,Girl,At least every week,Agree,Good,Never
15,Quebec,Boy,Don't know/doesn't apply,Somewhat agree,Very good,Never
18,British Columbia,Girl,Never or almost never,Agree,Good,once or twice
12,Alberta,Girl,Daily or almost daily,Somewhat agree,Good,once or twice
18,New Brunswick,Girl,Don't know/doesn't apply,Agree,Poor,More than four times
16,Alberta,Boy,Daily or almost daily,Somewhat disagree,Good,Never
17,British Columbia,Boy,At least every week,Agree,Good,once or twice
14,Quebec,Girl,At least every week,Agree,Fair,Three or four times
16,Quebec,Boy,Daily or almost daily,Somewhat agree,Excellent,Never
12,Alberta,Boy,At least every week,Prefer not to say,Prefer not to say,once or twice
15,Manitoba,Girl,At least every week,Agree,Fair,once or twice
12,British Columbia,Girl,Never or almost never,Somewhat agree,Good,Never
13,Saskatchewan,Girl,Daily or almost daily,Somewhat disagree,Good,Three or four times
16,Quebec,Boy,Daily or almost daily,Agree,Good,Never
18,Quebec,Girl,Never or almost never,Agree,Fair,Three or four times
